date,weekday,dayofmonth,num_weekdayofmonth,,week_num,datestring
2020-09-04,Fri,4,4,1,Fri-1,2020-09-04
2020-09-05,Sat,5,5,1,Sat-1,2020-09-05
2020-09-06,Sun,6,6,1,Sun-1,2020-09-06
2020-09-07,Mon,7,7,1,Mon-1,2020-09-07
2020-09-08,Tue,8,1,2,Tue-2,2020-09-08
2020-09-09,Wed,9,2,2,Wed-2,2020-09-09
2020-09-10,Thu,10,3,2,Thu-2,2020-09-10
2020-09-11,Fri,11,4,2,Fri-2,2020-09-11
2020-09-12,Sat,12,5,2,Sat-2,2020-09-12
2020-09-13,Sun,13,6,2,Sun-2,2020-09-13
2020-09-14,Mon,14,7,2,Mon-2,2020-09-14
2020-09-15,Tue,15,1,3,Tue-3,2020-09-15
2020-09-16,Wed,16,2,3,Wed-3,2020-09-16
2020-09-17,Thu,17,3,3,Thu-3,2020-09-17
2020-09-18,Fri,18,4,3,Fri-3,2020-09-18
2020-09-19,Sat,19,5,3,Sat-3,2020-09-19
2020-09-20,Sun,20,6,3,Sun-3,2020-09-20
2020-09-21,Mon,21,7,3,Mon-3,2020-09-21
2020-09-22,Tue,22,1,4,Tue-4,2020-09-22
2020-09-23,Wed,23,2,4,Wed-4,2020-09-23
2020-09-24,Thu,24,3,4,Thu-4,2020-09-24
2020-09-25,Fri,25,4,4,Fri-4,2020-09-25
2020-09-26,Sat,26,5,4,Sat-4,2020-09-26
2020-09-27,Sun,27,6,4,Sun-4,2020-09-27
2020-09-28,Mon,28,7,4,Mon-4,2020-09-28
2020-09-29,Tue,29,1,5,Tue-5,2020-09-29
2020-09-30,Wed,30,2,5,Wed-5,2020-09-30
2020-10-01,Thu,1,1,1,Thu-1,2020-10-01
2020-10-02,Fri,2,2,1,Fri-1,2020-10-02
2020-10-03,Sat,3,3,1,Sat-1,2020-10-03
2020-10-04,Sun,4,4,1,Sun-1,2020-10-04
2020-10-05,Mon,5,5,1,Mon-1,2020-10-05
2020-10-06,Tue,6,6,1,Tue-1,2020-10-06
2020-10-07,Wed,7,7,1,Wed-1,2020-10-07
2020-10-08,Thu,8,1,2,Thu-2,2020-10-08
2020-10-09,Fri,9,2,2,Fri-2,2020-10-09
2020-10-10,Sat,10,3,2,Sat-2,2020-10-10
2020-10-11,Sun,11,4,2,Sun-2,2020-10-11
2020-10-12,Mon,12,5,2,Mon-2,2020-10-12
2020-10-13,Tue,13,6,2,Tue-2,2020-10-13
2020-10-14,Wed,14,7,2,Wed-2,2020-10-14
2020-10-15,Thu,15,1,3,Thu-3,2020-10-15
2020-10-16,Fri,16,2,3,Fri-3,2020-10-16
2020-10-17,Sat,17,3,3,Sat-3,2020-10-17
2020-10-18,Sun,18,4,3,Sun-3,2020-10-18
2020-10-19,Mon,19,5,3,Mon-3,2020-10-19
2020-10-20,Tue,20,6,3,Tue-3,2020-10-20
2020-10-21,Wed,21,7,3,Wed-3,2020-10-21
2020-10-22,Thu,22,1,4,Thu-4,2020-10-22
2020-10-23,Fri,23,2,4,Fri-4,2020-10-23
2020-10-24,Sat,24,3,4,Sat-4,2020-10-24
2020-10-25,Sun,25,4,4,Sun-4,2020-10-25
2020-10-26,Mon,26,5,4,Mon-4,2020-10-26
2020-10-27,Tue,27,6,4,Tue-4,2020-10-27
2020-10-28,Wed,28,7,4,Wed-4,2020-10-28
2020-10-29,Thu,29,1,5,Thu-5,2020-10-29
2020-10-30,Fri,30,2,5,Fri-5,2020-10-30
2020-10-31,Sat,31,3,5,Sat-5,2020-10-31
2020-11-01,Sun,1,1,1,Sun-1,2020-11-01
2020-11-02,Mon,2,2,1,Mon-1,2020-11-02
2020-11-03,Tue,3,3,1,Tue-1,2020-11-03
2020-11-04,Wed,4,4,1,Wed-1,2020-11-04
2020-11-05,Thu,5,5,1,Thu-1,2020-11-05
2020-11-06,Fri,6,6,1,Fri-1,2020-11-06
2020-11-07,Sat,7,7,1,Sat-1,2020-11-07
2020-11-08,Sun,8,1,2,Sun-2,2020-11-08
2020-11-09,Mon,9,2,2,Mon-2,2020-11-09
2020-11-10,Tue,10,3,2,Tue-2,2020-11-10
2020-11-11,Wed,11,4,2,Wed-2,2020-11-11
2020-11-12,Thu,12,5,2,Thu-2,2020-11-12
2020-11-13,Fri,13,6,2,Fri-2,2020-11-13
2020-11-14,Sat,14,7,2,Sat-2,2020-11-14
2020-11-15,Sun,15,1,3,Sun-3,2020-11-15
2020-11-16,Mon,16,2,3,Mon-3,2020-11-16
2020-11-17,Tue,17,3,3,Tue-3,2020-11-17
2020-11-18,Wed,18,4,3,Wed-3,2020-11-18
2020-11-19,Thu,19,5,3,Thu-3,2020-11-19
2020-11-20,Fri,20,6,3,Fri-3,2020-11-20
2020-11-21,Sat,21,7,3,Sat-3,2020-11-21
2020-11-22,Sun,22,1,4,Sun-4,2020-11-22
2020-11-23,Mon,23,2,4,Mon-4,2020-11-23
2020-11-24,Tue,24,3,4,Tue-4,2020-11-24
2020-11-25,Wed,25,4,4,Wed-4,2020-11-25
2020-11-26,Thu,26,5,4,Thu-4,2020-11-26
2020-11-27,Fri,27,6,4,Fri-4,2020-11-27
2020-11-28,Sat,28,7,4,Sat-4,2020-11-28
2020-11-29,Sun,29,1,5,Sun-5,2020-11-29
2020-11-30,Mon,30,2,5,Mon-5,2020-11-30
2020-12-01,Tue,1,1,1,Tue-1,2020-12-01
2020-12-02,Wed,2,2,1,Wed-1,2020-12-02
2020-12-03,Thu,3,3,1,Thu-1,2020-12-03
2020-12-04,Fri,4,4,1,Fri-1,2020-12-04
2020-12-05,Sat,5,5,1,Sat-1,2020-12-05
2020-12-06,Sun,6,6,1,Sun-1,2020-12-06
2020-12-07,Mon,7,7,1,Mon-1,2020-12-07
2020-12-08,Tue,8,1,2,Tue-2,2020-12-08
2020-12-09,Wed,9,2,2,Wed-2,2020-12-09
2020-12-10,Thu,10,3,2,Thu-2,2020-12-10
2020-12-11,Fri,11,4,2,Fri-2,2020-12-11
2020-12-12,Sat,12,5,2,Sat-2,2020-12-12
2020-12-13,Sun,13,6,2,Sun-2,2020-12-13
2020-12-14,Mon,14,7,2,Mon-2,2020-12-14
2020-12-15,Tue,15,1,3,Tue-3,2020-12-15
2020-12-16,Wed,16,2,3,Wed-3,2020-12-16
2020-12-17,Thu,17,3,3,Thu-3,2020-12-17
2020-12-18,Fri,18,4,3,Fri-3,2020-12-18
2020-12-19,Sat,19,5,3,Sat-3,2020-12-19
2020-12-20,Sun,20,6,3,Sun-3,2020-12-20
2020-12-21,Mon,21,7,3,Mon-3,2020-12-21
2020-12-22,Tue,22,1,4,Tue-4,2020-12-22
2020-12-23,Wed,23,2,4,Wed-4,2020-12-23
2020-12-24,Thu,24,3,4,Thu-4,2020-12-24
2020-12-25,Fri,25,4,4,Fri-4,2020-12-25
2020-12-26,Sat,26,5,4,Sat-4,2020-12-26
2020-12-27,Sun,27,6,4,Sun-4,2020-12-27
2020-12-28,Mon,28,7,4,Mon-4,2020-12-28
2020-12-29,Tue,29,1,5,Tue-5,2020-12-29
2020-12-30,Wed,30,2,5,Wed-5,2020-12-30
2020-12-31,Thu,31,3,5,Thu-5,2020-12-31
