date,weekday,dayofmonth,num_weekdayofmonth,,week_num,datestring
2019-09-18,Wed,18,4,3,Wed-3,2019-09-18
2019-09-19,Thu,19,5,3,Thu-3,2019-09-19
2019-09-20,Fri,20,6,3,Fri-3,2019-09-20
2019-09-21,Sat,21,7,3,Sat-3,2019-09-21
2019-09-22,Sun,22,1,4,Sun-4,2019-09-22
2019-09-23,Mon,23,2,4,Mon-4,2019-09-23
2019-09-24,Tue,24,3,4,Tue-4,2019-09-24
2019-09-25,Wed,25,4,4,Wed-4,2019-09-25
2019-09-26,Thu,26,5,4,Thu-4,2019-09-26
2019-09-27,Fri,27,6,4,Fri-4,2019-09-27
2019-09-28,Sat,28,7,4,Sat-4,2019-09-28
2019-09-29,Sun,29,1,5,Sun-5,2019-09-29
2019-09-30,Mon,30,2,5,Mon-5,2019-09-30
2019-10-01,Tue,1,1,1,Tue-1,2019-10-01
2019-10-02,Wed,2,2,1,Wed-1,2019-10-02
2019-10-03,Thu,3,3,1,Thu-1,2019-10-03
2019-10-04,Fri,4,4,1,Fri-1,2019-10-04
2019-10-05,Sat,5,5,1,Sat-1,2019-10-05
2019-10-06,Sun,6,6,1,Sun-1,2019-10-06
2019-10-07,Mon,7,7,1,Mon-1,2019-10-07
2019-10-08,Tue,8,1,2,Tue-2,2019-10-08
2019-10-09,Wed,9,2,2,Wed-2,2019-10-09
2019-10-10,Thu,10,3,2,Thu-2,2019-10-10
2019-10-11,Fri,11,4,2,Fri-2,2019-10-11
2019-10-12,Sat,12,5,2,Sat-2,2019-10-12
2019-10-13,Sun,13,6,2,Sun-2,2019-10-13
2019-10-14,Mon,14,7,2,Mon-2,2019-10-14
2019-10-15,Tue,15,1,3,Tue-3,2019-10-15
2019-10-16,Wed,16,2,3,Wed-3,2019-10-16
2019-10-17,Thu,17,3,3,Thu-3,2019-10-17
2019-10-18,Fri,18,4,3,Fri-3,2019-10-18
2019-10-19,Sat,19,5,3,Sat-3,2019-10-19
2019-10-20,Sun,20,6,3,Sun-3,2019-10-20
2019-10-21,Mon,21,7,3,Mon-3,2019-10-21
2019-10-22,Tue,22,1,4,Tue-4,2019-10-22
2019-10-23,Wed,23,2,4,Wed-4,2019-10-23
2019-10-24,Thu,24,3,4,Thu-4,2019-10-24
2019-10-25,Fri,25,4,4,Fri-4,2019-10-25
2019-10-26,Sat,26,5,4,Sat-4,2019-10-26
2019-10-27,Sun,27,6,4,Sun-4,2019-10-27
2019-10-28,Mon,28,7,4,Mon-4,2019-10-28
2019-10-29,Tue,29,1,5,Tue-5,2019-10-29
2019-10-30,Wed,30,2,5,Wed-5,2019-10-30
2019-10-31,Thu,31,3,5,Thu-5,2019-10-31
2019-11-01,Fri,1,1,1,Fri-1,2019-11-01
2019-11-02,Sat,2,2,1,Sat-1,2019-11-02
2019-11-03,Sun,3,3,1,Sun-1,2019-11-03
2019-11-04,Mon,4,4,1,Mon-1,2019-11-04
2019-11-05,Tue,5,5,1,Tue-1,2019-11-05
2019-11-06,Wed,6,6,1,Wed-1,2019-11-06
2019-11-07,Thu,7,7,1,Thu-1,2019-11-07
2019-11-08,Fri,8,1,2,Fri-2,2019-11-08
2019-11-09,Sat,9,2,2,Sat-2,2019-11-09
2019-11-10,Sun,10,3,2,Sun-2,2019-11-10
2019-11-11,Mon,11,4,2,Mon-2,2019-11-11
2019-11-12,Tue,12,5,2,Tue-2,2019-11-12
2019-11-13,Wed,13,6,2,Wed-2,2019-11-13
2019-11-14,Thu,14,7,2,Thu-2,2019-11-14
2019-11-15,Fri,15,1,3,Fri-3,2019-11-15
2019-11-16,Sat,16,2,3,Sat-3,2019-11-16
2019-11-17,Sun,17,3,3,Sun-3,2019-11-17
2019-11-18,Mon,18,4,3,Mon-3,2019-11-18
2019-11-19,Tue,19,5,3,Tue-3,2019-11-19
2019-11-20,Wed,20,6,3,Wed-3,2019-11-20
2019-11-21,Thu,21,7,3,Thu-3,2019-11-21
2019-11-22,Fri,22,1,4,Fri-4,2019-11-22
2019-11-23,Sat,23,2,4,Sat-4,2019-11-23
2019-11-24,Sun,24,3,4,Sun-4,2019-11-24
2019-11-25,Mon,25,4,4,Mon-4,2019-11-25
2019-11-26,Tue,26,5,4,Tue-4,2019-11-26
2019-11-27,Wed,27,6,4,Wed-4,2019-11-27
2019-11-28,Thu,28,7,4,Thu-4,2019-11-28
2019-11-29,Fri,29,1,5,Fri-5,2019-11-29
2019-11-30,Sat,30,2,5,Sat-5,2019-11-30
2019-12-01,Sun,1,1,1,Sun-1,2019-12-01
2019-12-02,Mon,2,2,1,Mon-1,2019-12-02
2019-12-03,Tue,3,3,1,Tue-1,2019-12-03
2019-12-04,Wed,4,4,1,Wed-1,2019-12-04
2019-12-05,Thu,5,5,1,Thu-1,2019-12-05
2019-12-06,Fri,6,6,1,Fri-1,2019-12-06
2019-12-07,Sat,7,7,1,Sat-1,2019-12-07
2019-12-08,Sun,8,1,2,Sun-2,2019-12-08
2019-12-09,Mon,9,2,2,Mon-2,2019-12-09
2019-12-10,Tue,10,3,2,Tue-2,2019-12-10
2019-12-11,Wed,11,4,2,Wed-2,2019-12-11
2019-12-12,Thu,12,5,2,Thu-2,2019-12-12
2019-12-13,Fri,13,6,2,Fri-2,2019-12-13
2019-12-14,Sat,14,7,2,Sat-2,2019-12-14
2019-12-15,Sun,15,1,3,Sun-3,2019-12-15
2019-12-16,Mon,16,2,3,Mon-3,2019-12-16
2019-12-17,Tue,17,3,3,Tue-3,2019-12-17
2019-12-18,Wed,18,4,3,Wed-3,2019-12-18
2019-12-19,Thu,19,5,3,Thu-3,2019-12-19
2019-12-20,Fri,20,6,3,Fri-3,2019-12-20
2019-12-21,Sat,21,7,3,Sat-3,2019-12-21
2019-12-22,Sun,22,1,4,Sun-4,2019-12-22
2019-12-23,Mon,23,2,4,Mon-4,2019-12-23
2019-12-24,Tue,24,3,4,Tue-4,2019-12-24
2019-12-25,Wed,25,4,4,Wed-4,2019-12-25
2019-12-26,Thu,26,5,4,Thu-4,2019-12-26
2019-12-27,Fri,27,6,4,Fri-4,2019-12-27
2019-12-28,Sat,28,7,4,Sat-4,2019-12-28
2019-12-29,Sun,29,1,5,Sun-5,2019-12-29
2019-12-30,Mon,30,2,5,Mon-5,2019-12-30
2019-12-31,Tue,31,3,5,Tue-5,2019-12-31
2020-01-01,Wed,1,1,1,Wed-1,2020-01-01
2020-01-02,Thu,2,2,1,Thu-1,2020-01-02
2020-01-03,Fri,3,3,1,Fri-1,2020-01-03
2020-01-04,Sat,4,4,1,Sat-1,2020-01-04
2020-01-05,Sun,5,5,1,Sun-1,2020-01-05
2020-01-06,Mon,6,6,1,Mon-1,2020-01-06
2020-01-07,Tue,7,7,1,Tue-1,2020-01-07
2020-01-08,Wed,8,1,2,Wed-2,2020-01-08
2020-01-09,Thu,9,2,2,Thu-2,2020-01-09
2020-01-10,Fri,10,3,2,Fri-2,2020-01-10
2020-01-11,Sat,11,4,2,Sat-2,2020-01-11
2020-01-12,Sun,12,5,2,Sun-2,2020-01-12
2020-01-13,Mon,13,6,2,Mon-2,2020-01-13
2020-01-14,Tue,14,7,2,Tue-2,2020-01-14
2020-01-15,Wed,15,1,3,Wed-3,2020-01-15
2020-01-16,Thu,16,2,3,Thu-3,2020-01-16
2020-01-17,Fri,17,3,3,Fri-3,2020-01-17
2020-01-18,Sat,18,4,3,Sat-3,2020-01-18
2020-01-19,Sun,19,5,3,Sun-3,2020-01-19
2020-01-20,Mon,20,6,3,Mon-3,2020-01-20
2020-01-21,Tue,21,7,3,Tue-3,2020-01-21
2020-01-22,Wed,22,1,4,Wed-4,2020-01-22
2020-01-23,Thu,23,2,4,Thu-4,2020-01-23
2020-01-24,Fri,24,3,4,Fri-4,2020-01-24
2020-01-25,Sat,25,4,4,Sat-4,2020-01-25
2020-01-26,Sun,26,5,4,Sun-4,2020-01-26
2020-01-27,Mon,27,6,4,Mon-4,2020-01-27
2020-01-28,Tue,28,7,4,Tue-4,2020-01-28
2020-01-29,Wed,29,1,5,Wed-5,2020-01-29
2020-01-30,Thu,30,2,5,Thu-5,2020-01-30
2020-01-31,Fri,31,3,5,Fri-5,2020-01-31
2020-02-01,Sat,1,1,1,Sat-1,2020-02-01
2020-02-02,Sun,2,2,1,Sun-1,2020-02-02
2020-02-03,Mon,3,3,1,Mon-1,2020-02-03
2020-02-04,Tue,4,4,1,Tue-1,2020-02-04
2020-02-05,Wed,5,5,1,Wed-1,2020-02-05
2020-02-06,Thu,6,6,1,Thu-1,2020-02-06
2020-02-07,Fri,7,7,1,Fri-1,2020-02-07
2020-02-08,Sat,8,1,2,Sat-2,2020-02-08
2020-02-09,Sun,9,2,2,Sun-2,2020-02-09
2020-02-10,Mon,10,3,2,Mon-2,2020-02-10
2020-02-11,Tue,11,4,2,Tue-2,2020-02-11
2020-02-12,Wed,12,5,2,Wed-2,2020-02-12
2020-02-13,Thu,13,6,2,Thu-2,2020-02-13
2020-02-14,Fri,14,7,2,Fri-2,2020-02-14
2020-02-15,Sat,15,1,3,Sat-3,2020-02-15
2020-02-16,Sun,16,2,3,Sun-3,2020-02-16
2020-02-17,Mon,17,3,3,Mon-3,2020-02-17
