recite,start_time,end_time,weekday
Rudra Parayanam, 10:00:00, 10:30:00,Sun
Sadhana Bhajans, 10:30:00, 11:30:00,Sun
Rudra Chamakam Parayanam, 18:30:00, 19:00:00,Mon
Lalitha Sahasranamam Parayanam, 18:30:00, 19:00:00,Tue
Skanda Sashti Kavacham Parayanam, 19:00:00, 20:00:00,Tue
Achyutashtakam Parayanam, 18:30:00, 19:00:00,Wed
Ganesha Atharvaseersham, 18:30:00, 19:00:00,Thu
Sri Ashtalakshmi Sthotram Parayanam, 18:30:00, 19:00:00,Fri
Suprabatham  Vishnu Sahasranamam, 09:00:00, 10:00:00,Sat
